Territory,Population
California,39368078
Texas,29360759
Florida,21733312
New York,19336776
Pennsylvania,12783254
Illinois,12587530
Ohio,11693217
Georgia,10710017
North Carolina,10600823
Michigan,9966555
New Jersey,8882371
Virginia,8590563
Washington,7693612
Arizona,7421401
Massachusetts,6893574
Tennessee,6886834
Indiana,6754953
Missouri,6151548
Maryland,6055802
Wisconsin,5832655
Colorado,5807719
Minnesota,5657342
South Carolina,5218040
Alabama,4921532
Louisiana,4645318
Kentucky,4477251
Oregon,4241507
Oklahoma,3980783
Connecticut,3557006
Utah,3249879
Iowa,3163561
Nevada,3138259
Arkansas,3030522
Mississippi,2966786
Kansas,2913805
New Mexico,2106319
Nebraska,1937552
Idaho,1826913
West Virginia,1784787
Hawaii,1407006
New Hampshire,1366275
Maine,1350141
Montana,1080577
Rhode Island,1057125
Delaware,986809
South Dakota,892717
North Dakota,765309
Alaska,731158
District of Columbia,712816
Vermont,623347
Wyoming,582328
